Harsh - 10.20.40.199  [0], 64 bytes, 3.23 ms (3.23 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 3.86 ms (3.86 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 4.77 ms (4.77 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 3.85 ms (3.85 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 5.66 ms (5.66 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 4.51 ms (4.51 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 4.90 ms (4.90 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 4.34 ms (4.34 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 5.16 ms (5.16 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 5.50 ms (5.50 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 57.6 ms (57.6 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 4.52 ms (4.52 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 7.56 ms (7.56 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 5.66 ms (5.66 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 4.59 ms (4.59 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 6.35 ms (6.35 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 6.42 ms (6.42 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 6.29 ms (6.29 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 5.48 ms (5.48 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 5.71 ms (5.71 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 5.85 ms (5.85 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 6.05 ms (6.05 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 5.05 ms (5.05 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 10.2 ms (10.2 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 5.44 ms (5.44 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 5.60 ms (5.60 avg, 0% loss)
Harsh - 10.20.40.199  [0], 64 bytes, 5.11 ms (5.11 avg, 0% loss)
