YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 9.581/9.581/9.581/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 11.329/11.329/11.329/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 12.566/12.566/12.566/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 8.960/8.960/8.960/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 9.058/9.058/9.058/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 7.833/7.833/7.833/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 11.397/11.397/11.397/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 10.974/10.974/10.974/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 12.970/12.970/12.970/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 7.323/7.323/7.323/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 9.455/9.455/9.455/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 6.347/6.347/6.347/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 7.751/7.751/7.751/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 6.269/6.269/6.269/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 8.029/8.029/8.029/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 13.442/13.442/13.442/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 9.399/9.399/9.399/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 11.697/11.697/11.697/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 6.724/6.724/6.724/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 7.216/7.216/7.216/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 6.679/6.679/6.679/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 8.593/8.593/8.593/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 8.733/8.733/8.733/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 8.108/8.108/8.108/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 9.897/9.897/9.897/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 13.701/13.701/13.701/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 6.968/6.968/6.968/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 9.641/9.641/9.641/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 9.825/9.825/9.825/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 8.980/8.980/8.980/0.000 ms
YashVala[192.168.198.171] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 8.661/8.661/8.661/0.000 ms
