1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.077/0.077/0.077/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.070/0.070/0.070/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.102/0.102/0.102/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.065/0.065/0.065/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.035/0.035/0.035/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.061/0.061/0.061/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.076/0.076/0.076/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.063/0.063/0.063/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.037/0.037/0.037/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.048/0.048/0.048/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.033/0.033/0.033/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.070/0.070/0.070/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.077/0.077/0.077/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.062/0.062/0.062/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.067/0.067/0.067/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.076/0.076/0.076/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.075/0.075/0.075/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.034/0.034/0.034/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.067/0.067/0.067/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.077/0.077/0.077/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.035/0.035/0.035/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.055/0.055/0.055/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.078/0.078/0.078/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.080/0.080/0.080/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.035/0.035/0.035/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.038/0.038/0.038/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.079/0.079/0.079/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.077/0.077/0.077/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.078/0.078/0.078/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.040/0.040/0.040/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.080/0.080/0.080/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.078/0.078/0.078/0.000 ms
1[0.0.0.0] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 0.093/0.093/0.093/0.000 ms
