Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 4457.581/4457.581/4457.581/0.000 ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 54.511/54.511/54.511/0.000 ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 39.432/39.432/39.432/0.000 ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 2591.382/2591.382/2591.382/0.000 ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 7.129/7.129/7.129/0.000 ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 244.845/244.845/244.845/0.000 ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 7.820/7.820/7.820/0.000 ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 3029.993/3029.993/3029.993/0.000 ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 3244.092/3244.092/3244.092/0.000 ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 7067.463/7067.463/7067.463/0.000 ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 4663.322/4663.322/4663.322/0.000 ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 65.025/65.025/65.025/0.000 ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 9610.329/9610.329/9610.329/0.000 ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 93.949/93.949/93.949/0.000 ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 88.910/88.910/88.910/0.000 ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 1372.612/1372.612/1372.612/0.000 ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 661.798/661.798/661.798/0.000 ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 362.688/362.688/362.688/0.000 ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 833.280/833.280/833.280/0.000 ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 1091.892/1091.892/1091.892/0.000 ms
Bhayubha[192.168.205.79] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 449.579/449.579/449.579/0.000 ms
