Keyur[192.168.205.34] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 531.458/531.458/531.458/0.000 ms
Keyur[192.168.205.34] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 225.158/225.158/225.158/0.000 ms
Keyur[192.168.205.34] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Keyur[192.168.205.34] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Keyur[192.168.205.34] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Keyur[192.168.205.34] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Keyur[192.168.205.34] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Keyur[192.168.205.34] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Keyur[192.168.205.34] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Keyur[192.168.205.34] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Keyur[192.168.205.34] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Keyur[192.168.205.34] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Keyur[192.168.205.34] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Keyur[192.168.205.34] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Keyur[192.168.205.34] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Keyur[192.168.205.34] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Keyur[192.168.205.34] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Keyur[192.168.205.34] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Keyur[192.168.205.34] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Keyur[192.168.205.34] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
