Kishan[192.168.198.5] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 88.126/88.126/88.126/0.000 ms
Kishan[192.168.198.5] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 84.328/84.328/84.328/0.000 ms
Kishan[192.168.198.5] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 7.572/7.572/7.572/0.000 ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms
Kishan[192.168.198.5] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
