Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 9.750/9.750/9.750/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 10.345/10.345/10.345/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 8.657/8.657/8.657/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 127.147/127.147/127.147/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 217.059/217.059/217.059/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 7.608/7.608/7.608/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 199.773/199.773/199.773/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 49.707/49.707/49.707/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 210.661/210.661/210.661/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 57.467/57.467/57.467/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 8.335/8.335/8.335/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 61.989/61.989/61.989/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 38.032/38.032/38.032/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 71.032/71.032/71.032/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 68.875/68.875/68.875/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 73.909/73.909/73.909/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 238.148/238.148/238.148/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 307.295/307.295/307.295/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 14.767/14.767/14.767/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 208.181/208.181/208.181/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 93.470/93.470/93.470/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 85.437/85.437/85.437/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 205.037/205.037/205.037/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 212.368/212.368/212.368/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 339.624/339.624/339.624/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 213.989/213.989/213.989/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 895.963/895.963/895.963/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 91.547/91.547/91.547/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 455.657/455.657/455.657/0.000 ms
Krupal[192.168.205.206] (UP) - 1 packets transmitted, 1 received, 0% packet loss, time 0msrtt min/avg/max/mdev = 183.200/183.200/183.200/0.000 ms
Krupal[192.168.205.206] (DOWN) - 1 packets transmitted, 0 received, 100% packet loss, time 0ms
